관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자
5610000-101-2022-00176,매머드 익스프레스 포레나 광교점,205109.753498946,420280.714124425,영업/정상,2022-06-07,
3770000-101-2021-00020,컴포즈커피 수원역점,200067.082037683,418190.865875096,영업/정상,2021-01-22,
3760000-101-2003-00264,메가엠지씨커피 수원구운점,197590.701676951,419269.459142952,영업/정상,2003-06-16,
3770000-101-2000-50172,메가엠지씨커피 화서역점,199137.970878159,420336.245742227,영업/정상,2000-02-22,
3750000-101-2009-00011,메가엠지씨커피 수원정자시장점,200065.169206066,420875.514918857,영업/정상,2009-02-19,
3770000-101-2009-00205,이디야커피 화서오거리점,199826.280334586,419676.883902628,영업/정상,2009-09-18,
3760000-101-2020-00187,컴포즈커피 수원금곡점,195818.525217576,419211.743004017,영업/정상,2020-07-09,
3770000-101-1998-00131,메가MGC커피 수원인계중앙점,203097.326376837,418919.162635154,영업/정상,1998-09-21,
5610000-101-2022-00323,메가엠지씨커피 경희대국제캠퍼스점,206837.050912338,416231.673848748,영업/정상,2022-09-21,
3760000-101-2022-00268,메가엠지씨커피 수원매교힐스테이트점,200938.796602134,418274.840908513,영업/정상,2022-10-20,
3760000-101-2022-00265,메가엠지씨커피 수원세류점,201626.404482442,417670.194501205,영업/정상,2022-10-18,
5610000-101-2022-00318,메가엠지씨커피망포늘푸른벽산점,205307.777216853,415128.969739813,영업/정상,2022-09-20,
3770000-101-2005-00054,이디야 수원인계점,202756.342355023,417880.982392149,영업/정상,2005-03-24,
3760000-101-2020-00217,빽다방 수원곡반정동점,202358.39671931,414758.819003224,영업/정상,2020-08-07,
5610000-101-2020-00136,컴포즈커피 수원원천점,205167.325588162,418325.349997928,영업/정상,2020-03-12,
5610000-101-2010-00139,메가커피 수원매탄초사거리점,203983.43403189,417993.383233885,영업/정상,2010-08-11,
3770000-101-2013-00139,빽다방수원역점,200131.496323565,418441.173875371,영업/정상,2013-06-21,
3770000-101-2005-00277,메가엠지씨커피 수원월드메르디앙점,202766.344807741,419663.312559787,영업/정상,2005-11-21,
5610000-101-2013-00278,빽다방 수원매탄위브점,203587.69873805,418069.506498413,영업/정상,2013-11-05,
5610000-101-2014-00017,컴포즈커피 수원망포점,204894.596571785,415913.666015514,영업/정상,2014-01-24,
3770000-101-2020-00019,빽다방수원못골시장점,201828.912806477,419242.437962276,영업/정상,2020-01-15,
5610000-101-1991-00149,컴포즈커피 수원구매탄시장점,203653.800242763,419021.265037361,영업/정상,1991-09-03,
