관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,nearby_cafe_count
3150000-104-2019-00013,더벤티 마곡점,185095.247005248,450885.058431205,폐업,2019-01-14,2021-05-28,16
3140000-104-2019-00040,메가엠지씨커피 오목교역점,188688.879646658,446994.404068885,폐업,2019-03-22,2023-10-16,11
3230000-104-2019-00011,이디야커피 방이시장점,209987.831311221,445521.28452478,폐업,2019-01-08,2024-02-06,9
3130000-104-2019-00064,메가 엠지씨 커피 합정역점,192351.519505378,449683.522663289,폐업,2019-03-06,2022-08-19,11
3110000-104-2019-00026,커피에반하다(갈현주민센터점),192640.605262496,457921.381332144,폐업,2019-02-14,2024-06-03,10
3100000-104-2019-00039,커피에반하다,205341.384982763,460838.369137318,폐업,2019-03-05,2023-01-19,7
3220000-104-2019-00186,만랩커피 선릉역점,204662.747132837,444764.093388357,폐업,2019-03-28,2020-05-11,11
3020000-104-2023-00150,매머드익스프레스(숙대점),196977.364024383,449175.637803411,폐업,2023-08-21,2024-11-27,4
3130000-104-2023-00241,매머드익스프레스 공덕동점,195782.167947617,449467.125357845,폐업,2023-08-09,2025-03-11,11
3040000-104-2019-00021,커피에반하다,206826.516479071,450178.536506659,폐업,2019-02-07,2022-01-20,5
3130000-104-2019-00074,커피에반하다 구수사거리점,193889.040661907,449277.876757706,폐업,2019-03-13,2023-03-29,4
3180000-104-2019-00044,매머드익스프레스(여의도공원점),193259.164012388,447503.839457813,폐업,2019-03-07,2022-04-18,7
3160000-104-2019-00035,감성커피 개봉역사점,187525.339802832,443643.833213749,폐업,2019-03-04,2022-06-16,12
3110000-104-2019-00043,커피에반하다(녹번환희점),194408.745928276,455650.210095834,폐업,2019-03-18,2024-08-05,4
3130000-104-2019-00051,만랩커피 홍대입구점,193683.435734563,450316.440468253,폐업,2019-02-26,2021-01-11,8
3040000-104-2019-00130,이디야뚝섬유원지역점,205877.28221374,447919.248318372,폐업,2019-06-13,2024-06-28,4
3210000-104-2019-00164,이디야(서초우면중앙점),201366.787271804,439366.70531764,폐업,2019-06-03,2024-11-11,2
3230000-104-2019-00189,이디야커피 송파 헬리오 시티점,209219.191144283,444182.219682377,폐업,2019-05-28,2021-05-20,5
3230000-104-2019-00121,이디야 문정문현점,211132.533390588,442002.841604704,폐업,2019-04-11,2024-06-17,7
3070000-104-2019-00097,커피에반하다 하월곡동점,203067.206072379,456073.860639591,폐업,2019-06-04,2023-04-24,11
3120000-104-2019-00097,더벤티서대문역점,196828.829637637,451670.514152007,폐업,2019-05-21,2023-05-03,10
3220000-104-2019-00256,주식회사 매머드커피랩,205130.591678902,445590.096837802,폐업,2019-04-26,2019-05-20,6
3020000-104-2019-00077,이디야커피삼각지역점,197514.145785647,448264.322314594,폐업,2019-06-05,2022-08-12,4
3150000-104-2019-00142,커피에반하다,185150.32136415,450822.870557532,폐업,2019-05-17,2024-02-15,16
3120000-104-2019-00094,메가엠지씨커피홍제역점,195107.573772626,453992.907306991,폐업,2019-05-16,2020-08-25,5
3130000-104-2023-00190,드라이빙 앤 컴포즈커피 마포구청점,191409.240701388,451377.18304308,폐업,2023-06-16,2024-04-18,7
3110000-104-2012-00020,이디야 연신내역점,192900.782483613,457444.185417139,폐업,2012-02-28,2020-09-23,10
3110000-104-2009-00094,이디야이마트은평점,192882.837727443,455340.54056388,폐업,2009-11-20,2024-09-23,11
3120000-104-2012-00042,이디야 홍제점,195100.775388874,453908.668090057,폐업,2012-03-09,2023-09-01,6
3010000-104-2011-00121,이디야 충무로3가점,199157.146978682,451143.211003166,폐업,2011-07-04,2024-01-08,20
3010000-104-2016-00092,만랩커피,199274.744782333,451438.400670379,폐업,2016-03-17,2018-02-22,10
3110000-104-2010-00118,이디야(연신내점),192762.8128384,457402.234755153,폐업,2010-08-16,2016-09-06,5
3210000-104-2015-00222,THE VENTI(더 벤티) 교대점,201295.700037578,443474.524864903,폐업,2015-09-16,2024-04-09,13
3140000-104-2015-00071,이디야커피신정역점,187082.051039049,446981.829794841,폐업,2015-05-26,2022-09-19,6
3010000-104-2012-00161,이디야커피,199272.350281075,450950.170297912,폐업,2012-09-20,2024-11-25,17
3010000-104-2011-00022,매머드 익스프레스 퇴계로점,200277.835594229,451316.340340698,폐업,2011-02-15,2019-06-04,7
3020000-104-2014-00111,이디야 한강진역사,199976.641457811,448731.858551578,폐업,2014-10-13,2019-11-06,1
3110000-104-2013-00092,이디야,193103.427054842,459986.856034813,폐업,2013-10-18,2022-12-22,1
3120000-104-2014-00109,이디야커피 홍은중앙길점,195361.607735602,455246.102082101,폐업,2014-08-07,2021-08-27,3
3020000-104-2015-00105,더벤티코리아,197015.117885427,449162.011118867,폐업,2015-11-16,2022-05-12,4
3140000-104-2011-00148,이디야(오목교역점),188954.524397407,446824.338404844,폐업,2011-09-30,2023-09-26,5
3110000-104-2015-00011,이디야 커피(독바위역점),194042.098056639,457314.080047051,폐업,2015-02-05,2023-01-30,2
3140000-104-2016-00246,이디야커피목4동점,188099.042234543,448591.302073883,폐업,2016-11-17,2024-10-11,5
3140000-104-2012-00147,이디야 CBS점,188871.512837973,447348.13213342,폐업,2012-12-13,2023-03-23,10
3020000-104-2015-00081,빽다방 신용산역점,197043.070567006,447583.735611074,폐업,2015-09-10,2022-03-28,6
3020000-104-2016-00086,빽다방,196506.975091736,448157.36945739,폐업,2016-07-12,2018-03-05,3
3010000-104-2018-00147,이디야커피 약수역점,200958.815664612,450254.293571435,폐업,2018-05-23,2024-09-23,6
3110000-104-2014-00097,이디야 응암중앙점,192568.183164958,454016.689865438,폐업,2014-10-10,2024-10-23,10
3110000-104-2017-00127,이디야,192144.782048469,456791.43331642,폐업,2017-07-05,2022-08-25,3
3070000-104-2009-00013,이디야성신여대역점,201342.102885448,454603.051999187,폐업,2009-03-27,2017-10-23,4
3110000-104-2018-00034,커피에반하다(응암서부병원점),193223.487527244,455229.001358152,폐업,2018-03-05,2022-03-16,6
3140000-104-2017-00150,더벤티킴스클럽목동점,188977.171050288,447466.355031447,폐업,2017-09-18,2019-12-04,6
3020000-104-2014-00072,이디야 용산아스테리움점,197177.441827434,447264.444809335,폐업,2014-06-23,2017-05-11,6
3210000-104-2011-00216,이디야커피 양재우면점,203268.908269935,441690.283159014,폐업,2011-11-02,2016-10-06,1
3140000-104-2014-00030,이디야커피,186022.845067592,446241.819507065,폐업,2014-03-04,2023-01-13,5
3110000-104-2013-00016,이디야 에스프레소,193671.151835754,456443.282712175,폐업,2013-02-25,2023-10-19,10
3140000-104-2018-00030,커피에반하다,185272.980783767,446741.823422554,폐업,2018-02-28,2024-10-10,4
3210000-104-2014-00020,이디야커피(EDIYA COFFEE),203494.359793635,440771.039835881,폐업,2014-02-07,2021-12-10,3
3110000-104-2015-00113,이디야,193296.847623863,457624.618620068,폐업,2015-08-10,2023-10-25,9
3110000-104-2013-00103,이디야,190774.119177382,453295.781525013,폐업,2013-11-01,2024-11-27,9
3110000-104-2013-00114,이디야 커피(연신내 중앙점),193105.199725994,457192.152290266,폐업,2013-11-29,2023-07-19,12
3210000-104-2015-00315,빽다방,203837.230301069,441539.1933305,폐업,2015-11-24,2016-04-26,4
3120000-104-2015-00101,이디야커피 무악재역점,195487.053824097,453420.848391128,폐업,2015-07-10,2024-07-01,4
3210000-104-2013-00044,이디야(EDIYA COFFEE),199059.644180682,444396.094036908,폐업,2013-04-01,2022-06-13,1
3070000-104-2010-00134,이디야커피 한성대역점,200645.918769282,454135.508838328,폐업,2010-12-07,2024-04-02,5
3000000-104-2009-00135,이디야(동대문역점),200685.734152413,452136.400405769,폐업,2009-11-25,2019-05-28,7
3010000-104-2016-00118,이디야커피숍 명동중앙2호점,198793.839451057,451072.1392557,폐업,2016-04-22,2023-02-14,19
3140000-104-2014-00020,이디야커피,184783.397041118,448230.469938283,폐업,2014-02-17,2018-12-11,2
3140000-104-2011-00046,이디야목동역점,187810.102163123,447103.079668939,폐업,2011-04-12,2024-04-15,6
3010000-104-2015-00174,빽다방 광희동사거리,200448.215888466,451387.090356969,폐업,2015-10-14,2019-09-19,7
3140000-104-2016-00205,이디야커피목동남부점,187971.561450511,445180.40867328,폐업,2016-08-30,2023-08-31,3
3120000-104-2013-00134,이디야동교동점,193547.297910388,450712.127464174,폐업,2013-12-02,2023-08-07,8
3120000-104-2015-00122,이디야커피(독립문통일로점),196472.739619678,452113.046976794,폐업,2015-08-12,2023-02-28,2
3070000-104-2019-00083,더벤티 성신여대점,201467.253780552,454489.790802176,폐업,2019-05-22,2023-08-07,12
3160000-104-2019-00162,컴포즈커피 구로한영시티점,190811.754668537,442118.236573158,폐업,2019-10-01,2020-12-23,13
3140000-104-2019-00138,커피에반하다 신정네거리점,187086.000566034,446599.337231584,폐업,2019-07-16,2023-06-01,11
3060000-104-2019-00135,이디야 양원남부점,209417.812611365,455648.198276927,폐업,2019-08-08,2023-05-03,5
3150000-104-2019-00208,매머드 익스프레스 화곡메가박스점,185574.937191115,448716.274685045,폐업,2019-07-26,2021-07-19,5
3120000-104-2019-00163,이디야 이화여대점,195167.079408119,450633.914892119,폐업,2019-08-19,2024-08-16,10
3150000-104-2019-00247,커피에반하다,184514.388814902,450797.722244176,폐업,2019-08-28,2023-10-20,13
3210000-104-2019-00261,매머드커피,203392.793460583,440676.379919661,폐업,2019-09-04,2019-09-10,3
3170000-104-2019-00105,매머드 익스프레스 갑을그레이트밸리점,189982.344533404,441928.69040241,폐업,2019-06-26,2024-06-18,22
3220000-104-2022-00162,이디야커피 삼성중앙역점,204638.735,445739.79,폐업,2022-04-07,2025-03-28,4
3180000-104-2024-00346,이디야,193326.931018911,446973.914570276,폐업,2024-10-18,2024-11-20,11
3110000-104-2024-00155,이디야 백련산아이파크점,192465.363063754,454894.818175461,폐업,2024-10-18,2024-10-19,13
3230000-104-2024-00395,(주)매머드커피랩,210199.45921923,446539.279382444,폐업,2024-10-24,2024-11-03,3
3240000-104-2024-00224,매머드 익스프레스 암사점,211252.499429603,449861.448298428,폐업,2024-11-13,2024-12-06,8
3090000-104-2020-00067,이디야 창동블루핀점,204308.803324021,462013.490422468,폐업,2020-08-03,2024-09-03,2
3230000-104-2016-00009,커반(커피에반하다),206932.357872339,445301.060651942,폐업,2016-01-06,2019-02-27,3
3120000-104-2012-00123,이디야 가재울점,192139.514479125,452473.848199077,폐업,2012-10-09,2024-05-08,6
3030000-104-2015-00038,이디야커피 뚝섬역점,204242.211382768,449457.3213247,폐업,2015-04-21,2024-07-25,11
3020000-104-2006-00003,이디야,196920.745916732,449209.513689564,폐업,2006-03-02,2020-11-12,2
3020000-104-2017-00016,만랩커피나미브(10000LAB X NAMIB),198746.734021309,448690.838923479,폐업,2017-02-01,2021-06-22,1
3120000-104-2008-00066,카페이디야,193224.910587162,453018.478353222,폐업,2008-08-07,2017-10-31,3
3140000-104-2016-00091,커피에반하다양천신월점,185511.223568273,446283.271989441,폐업,2016-05-10,2025-01-31,4
3120000-104-1999-03889,이디야,195124.438236336,450532.009946368,폐업,1999-06-29,2021-05-21,7
3140000-104-2011-00166,이디야신정교점,188775.802463919,446300.797031525,폐업,2011-11-10,2024-03-04,4
3030000-104-2011-00027,이디야행당점,202909.320149389,450643.152428876,폐업,2011-05-09,2023-08-31,9
3010000-104-2009-00024,이디야커피 IBK점,198743.086421493,451579.913748821,폐업,2009-02-26,2020-07-22,21
3120000-104-2017-00164,이디야커피 가좌역점,192430.747828561,451913.110479249,폐업,2017-10-13,2021-11-24,4
3010000-104-2014-00068,이디야 청구역점,201099.759440018,450833.306115568,폐업,2014-04-09,2024-04-01,5
3140000-104-2016-00027,이디야커피목동등촌로점,187795.606359804,449279.057082134,폐업,2016-03-04,2022-11-18,6
3030000-104-2009-00063,이디야커피(한양대점),203601.487016216,450852.830007464,폐업,2009-09-14,2023-12-29,7
3140000-104-2015-00009,커피에반하다,187619.993071747,445879.054862903,폐업,2015-01-14,2021-08-20,4
3140000-104-2015-00019,커피에반하다,188879.448572755,446808.521815814,폐업,2015-02-06,2016-06-15,3
3030000-104-2013-00090,이디야성수2가점,204799.750078838,448317.872400495,폐업,2013-07-31,2022-08-19,3
3070000-104-2014-00088,이디야커피(국민대점),199965.28221496,456536.160168447,폐업,2014-07-29,2023-03-20,1
3070000-104-2014-00102,이디야카페(정릉아리랑점),201604.627294689,455202.849795642,폐업,2014-09-05,2023-05-11,4
3070000-104-2013-00013,이디야(EDIYA),205060.731432101,456432.184537298,폐업,2013-02-05,2023-03-24,6
3070000-104-2016-00073,감성커피,201422.756203753,454355.100629802,폐업,2016-06-02,2021-04-02,9
3070000-104-2014-00002,이디야커피동소문동점,201066.584474523,454414.343552494,폐업,2014-01-15,2024-11-28,11
3070000-104-2014-00126,이디야 상월곡역사점,204330.488275113,456085.349815294,폐업,2014-10-31,2019-10-29,2
3070000-104-2017-00012,이디야커피돈암아리랑점,201051.072165281,455205.325182072,폐업,2017-01-19,2024-06-27,3
3070000-104-2014-00026,이디야커피정릉뉴타운점,201548.495615664,455659.81785175,폐업,2014-03-26,2023-07-26,7
3180000-104-2006-00031,이디야,192785.997964211,447523.1165117,폐업,2006-05-11,2021-05-12,10
3120000-104-2001-10715,이디야에스프레소,193224.910587162,453018.478353222,폐업,2001-10-11,2017-10-31,3
3070000-104-2014-00120,이디야 고려대역사점,203120.220219624,454248.371932964,폐업,2014-10-16,2019-10-29,3
3210000-104-2009-00204,이디야커피 이수역점,198487.958709466,442537.940545589,폐업,2009-09-08,2019-11-11,6
3010000-104-2002-00072,이디야충무로점,199393.748061831,451020.317219361,폐업,2002-05-04,2021-05-27,16
3210000-104-2008-00027,이디야커피 BC카드점,201162.55241589,442589.558473708,폐업,2008-02-20,2020-03-20,5
3010000-104-2004-00003,이디야,198006.561974679,450734.150359974,폐업,2004-01-14,2019-05-21,8
3070000-104-2013-00102,이디야커피,202667.468802014,455858.920803881,폐업,2013-10-25,2023-08-07,7
3010000-104-2006-00158,이디야커피,198429.971915327,451654.194861108,폐업,2006-10-30,2017-12-29,18
3020000-104-2004-00072,이디야,196762.077394917,447480.039577359,폐업,2004-10-06,2021-10-05,6
3110000-104-2017-00021,감성커피 구파발점,192831.901570697,459170.418887077,폐업,2017-02-02,2022-02-04,6
3180000-104-2017-00170,더벤티서여의도점,193026.875747265,447427.783375434,폐업,2017-06-14,2021-01-05,11
3120000-104-2011-00115,이디야,193908.881732216,451782.315521616,폐업,2011-07-27,2023-11-29,3
3010000-104-2017-00250,만랩커피 덕수궁롯데캐슬점,197312.655183004,451257.223181993,폐업,2017-08-01,2023-07-25,17
3230000-104-2011-00277,이디야커피 방이점,209957.739828039,445503.385359995,폐업,2011-12-12,2018-11-08,4
3230000-104-2017-00035,커피에반하다 위례광장점,212609.377447603,441586.029967716,폐업,2017-02-03,2019-04-17,5
3230000-104-2010-00237,이디야커피,210112.095847264,445960.615515654,폐업,2010-08-05,2020-03-17,4
3230000-104-2017-00079,감성커피 위례광장점,212452.558599859,441411.906445707,폐업,2017-03-15,2019-03-25,7
3230000-104-2016-00137,이디야 위례아이파크점,212494.327675839,441590.062253247,폐업,2016-05-04,2024-01-09,7
3230000-104-2016-00371,이디야 석촌사거리점,209503.78418775,444592.294796448,폐업,2016-12-16,2024-03-26,12
3230000-104-2014-00078,매머드 익스프레스 장미상가점,208707.089897534,446299.352775446,폐업,2014-04-15,2022-06-14,6
3170000-104-2019-00173,메가엠지씨커피 시흥사거리점,191118.563171248,439101.864418089,폐업,2019-12-10,2019-12-30,5
3150000-104-2019-00344,이디야커피 등촌중앙점,187836.091897907,448212.63908177,폐업,2019-12-05,2024-08-20,10
3130000-104-2019-00347,이디야,193716.268830546,450209.141627082,폐업,2019-12-27,2023-01-16,5
