관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,is_alive,population
3130000-101-2021-00221,감성커피 마포성산점,191836.687761374,451679.587355137,영업/정상,2021-03-22,,1,327.25
3130000-101-2022-00804,매머드익스프레스 홍대경의선숲길점,193502.702425004,450581.473841254,영업/정상,2022-09-15,,1,159.0
3130000-101-2021-00502,메가엠지씨커피 대흥역점,194843.279018427,449457.043316346,영업/정상,2021-06-08,,1,168.625
3130000-101-2021-00535,메가엠지씨커피 마포도화점,195300.630340211,448489.519681016,영업/정상,2021-06-18,,1,34.25
3130000-101-2021-00436,메가엠지씨커피 홍대서교점,192862.297949325,450164.134608836,영업/정상,2021-05-20,,1,87.375
3130000-101-2022-01112,컴포즈커피 홍대 서교점,193168.052327746,450267.576222732,영업/정상,2022-12-26,,1,36.75
3130000-101-2021-00786,메가엠지씨커피 합정중앙점,192510.219478049,449906.551472075,영업/정상,2021-09-14,,1,629.75
3130000-101-2021-00953,컴포즈커피 마포성산시영점,191539.563874532,451916.77064097,영업/정상,2021-11-17,,1,248.75
3130000-101-2003-00045,커피에반하다 상수점,193512.239010343,449259.281231028,영업/정상,2003-02-06,,1,8.0
3130000-101-2023-00431,매머드익스프레스 서강대후문점,194977.409300077,449742.358364935,영업/정상,2023-05-08,,1,9.25
3130000-101-2012-00689,(주)매머드익스프레스 홍대본점,193716.56824476,450262.588552853,영업/정상,2012-11-13,,1,87.125
3130000-101-2012-00350,빽다방 공덕역새창로점,195673.116128571,448886.966439859,영업/정상,2012-06-18,,1,22.375
3130000-101-2019-00862,더 벤티 공덕롯데캐슬점 & 인터섹션,195564.375757848,449186.933273231,영업/정상,2019-10-30,,1,334.25
3130000-101-2019-00312,이디야커피 마포공덕역점,195552.095318023,448872.262857881,영업/정상,2019-04-22,,1,458.5
3130000-101-2019-00076,메가엠지씨커피 홍대L7점,192946.824247135,450414.6853695,영업/정상,2019-02-07,,1,26.0
3150000-101-2023-00714,컴포즈커피 가양초점,187566.627662986,450983.08448528,영업/정상,2023-11-06,,1,1.875
3150000-101-2023-00818,컴포즈커피 강서대점,186741.594344342,449666.892402768,영업/정상,2023-12-18,,1,332.75
3150000-101-2021-00123,메가엠지씨커피 염창점,188440.342379339,450017.32238226,영업/정상,2021-02-26,,1,433.875
3150000-101-2024-00080,감성커피 마곡나루역점,184646.580818167,451684.726858384,영업/정상,2024-02-02,,1,339.0
3150000-101-2005-00326,메가커피 우장산점,185421.297430211,449552.595398344,영업/정상,2005-08-22,,1,6.125
3150000-101-2017-00287,메가엠지씨커피 마곡엠밸리7단지점,184333.032124285,451471.100985376,영업/정상,2017-06-22,,1,446.75
3150000-101-2023-00290,메가엠지씨커피 화곡중앙점,186442.432351835,449289.842069874,영업/정상,2023-05-04,,1,468.875
3150000-101-2012-00148,메가엠지씨커피 방화사거리점,183306.538535393,452402.238297341,영업/정상,2012-05-25,,1,201.125
3150000-101-2024-00476,메가엠지씨커피 증미역점,187682.690357283,450578.892820906,영업/정상,2024-07-23,,1,760.375
3210000-101-2018-00345,빽다방 신사사거리지점,201626.186746896,445948.552865248,폐업,2018-08-02,2019-06-10,0,0.625
3210000-101-2012-00131,컴포즈커피 교대점,201389.939592064,443377.495674887,폐업,2012-04-02,2022-09-22,0,186.0
3210000-101-2005-00497,더벤티,201682.084788276,445350.656913916,폐업,2005-10-18,2020-06-10,0,178.125
3210000-101-1999-14274,"홍콩반점0410, 빽다방 강남역 서초점",202168.523433745,443992.861821658,폐업,1999-09-13,2017-11-09,0,102.5
3210000-101-2006-00306,이디야커피,201704.659299216,445410.827928434,폐업,2006-08-28,2018-02-19,0,40.0
3210000-101-1996-07033,이디야,203796.704036794,441582.10354952,폐업,1996-10-18,2016-04-21,0,339.0
3210000-101-2019-00019,빽다방 신논현역지점,201973.022241328,444684.700371579,폐업,2019-01-21,2019-06-10,0,33.25
3210000-101-2022-00567,매머드 커피 익스프레스 양재동점,203279.213178553,442394.166424487,영업/정상,2022-12-15,,1,195.25
3210000-101-2023-00022,메가엠지씨커피방배역점,199626.199878331,442376.394258865,영업/정상,2023-01-13,,1,11.5
3210000-101-2024-00085,메가MGC커피 반포삼호가든점,200802.087785127,444557.917900243,영업/정상,2024-02-22,,1,437.875
3210000-101-2023-00121,메가엠지씨커피 반포KCC점,201765.042541746,444619.143016388,영업/정상,2023-03-13,,1,28.125
3210000-101-2021-00592,메가엠지씨커피 강남중앙점,202164.507811434,444290.79442503,영업/정상,2021-12-16,,1,0.0
3210000-101-2021-00588,메가엠지씨커피 양재시민의숲점,203494.359793635,440771.039835881,영업/정상,2021-12-13,,1,37.375
