관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,proximity_metro_dist
3220000-101-2015-00871,매머드 익스프레스 선릉대림점,204181.823243711,444950.728644939,폐업,2015-09-30,2020-06-30,264.6984746055665
3220000-101-2012-00451,이디야커피 역삼GFC점,203207.24444991,444098.380981066,폐업,2012-06-13,2017-02-10,182.68021272588814
3220000-101-1989-17876,빽다방 멜로우 논현지점,202056.105851493,444977.96960847,폐업,1989-10-10,2017-07-07,276.55311487947665
3220000-101-2023-00466,주식회사 앤하우스 메가MGC커피(한시적),205130.591678902,445590.096837802,폐업,2023-04-03,2023-04-13,226.6222118106773
3220000-101-2005-00064,빽다방(청담영동고점),203546.514567012,446316.917431553,폐업,2005-01-25,2022-03-03,211.75129598401807
3220000-101-2015-00380,이디야커피(압구정로데오역점),203362.470743292,447255.500059519,폐업,2015-05-06,2022-10-17,153.49536867361192
3220000-101-2014-00412,빽다방 삼성동공항타워점,204981.823447481,445317.569993275,폐업,2014-05-09,2019-09-27,471.86898226407664
3220000-101-2015-00248,매머드 익스프레스 테헤란점(MAMMOTH EXPRESS),202852.696796033,444268.846317292,폐업,2015-03-26,2023-06-28,298.8199993253182
3220000-101-2015-00939,빽다방 대치청실점,205154.638096613,443439.981644506,폐업,2015-10-16,2017-09-13,373.6404190832783
3240000-101-2009-00420,이디야 굽은다리역점,212467.434115035,449047.681507441,폐업,2009-11-16,2022-12-20,221.54473765725425
3140000-101-2012-00319,이디야커피 서남병원점,185110.894254328,445597.867304429,폐업,2012-12-17,2023-01-16,2002.0155527266843
3200000-101-2021-00067,컴포즈커피 봉천중앙점,194935.523379602,442196.00390157,폐업,2021-02-03,2024-10-25,153.73115653484814
3200000-101-2004-00517,이디야,194544.691396571,440901.965658555,폐업,2004-10-28,2018-01-16,495.0474449973762
3200000-101-2001-11392,이디야낙성대점,196588.666246939,441749.702697104,폐업,2001-10-25,2017-11-27,176.86384507741934
3050000-101-2010-00176,이디야경희대점,204569.432296208,454399.29339359,폐업,2010-06-03,2017-08-23,531.0140145773387
3050000-101-2024-00013,메가엠지씨커피 동대문구청점,203340.686374876,452607.843299182,폐업,2024-01-15,2024-02-15,198.65160246167747
3110000-101-2020-00018,감성커피 불광역점,193687.83561561,456469.658454439,폐업,2020-01-14,2022-05-09,46.13649740149325
3110000-101-1991-05360,이디야,192950.245106038,456287.998883901,폐업,1991-11-08,2024-10-04,354.0219134225305
3110000-101-2004-00208,컴포즈응암오거리점,192565.042051109,454222.084119125,폐업,2004-06-28,2021-12-28,281.25762502638617
3110000-101-2002-00450,이디야,192144.782048469,456791.43331642,폐업,2002-10-28,2017-07-05,537.6302802655077
3130000-104-2017-00065,커피에반하다 홍대점,193280.853739988,450136.139175705,폐업,2017-02-27,2022-02-08,376.5870886303814
3130000-104-2017-00322,이디야 성산중앙점,192567.210922042,450896.344372486,폐업,2017-09-04,2024-11-18,732.4414761937744
3130000-104-2017-00415,매머드커피 마포중앙도서관점(129호),191843.829548101,451282.5581689,폐업,2017-11-16,2022-02-08,455.36785682924676
3100000-104-2018-00187,이디야월계초교점,204376.414367095,458295.225158013,폐업,2018-11-29,2023-10-18,1009.6476142836558
3140000-104-2018-00175,더벤티킴스클럽목동점,188977.171050288,447466.355031447,폐업,2018-11-20,2023-02-08,542.1367447253009
3170000-104-2019-00007,만랩커피 독산점,189920.528610917,440521.85524888,폐업,2019-01-11,2023-03-06,251.91606893984886
3100000-104-2019-00014,커피에반하다,205368.388442949,461774.111086211,폐업,2019-01-21,2021-05-28,266.7689341122788
3090000-104-2019-00016,커피에반하다,204063.565019682,461204.628081227,폐업,2019-01-25,2021-03-30,25.455594086012685
3070000-104-2019-00043,만랩커피 홈플러스월곡점,203502.004139568,455500.568972657,폐업,2019-03-05,2023-03-09,93.0566021522926
3220000-104-2019-00106,만랩커피 삼성싹아트홀점,204849.998753087,445280.596880852,폐업,2019-02-27,2023-03-09,419.2084404069546
3150000-104-2019-00013,더벤티 마곡점,185095.247005248,450885.058431205,폐업,2019-01-14,2021-05-28,510.4357597379354
3140000-104-2019-00040,메가엠지씨커피 오목교역점,188688.879646658,446994.404068885,폐업,2019-03-22,2023-10-16,205.75718844996194
3230000-104-2019-00011,이디야커피 방이시장점,209987.831311221,445521.28452478,폐업,2019-01-08,2024-02-06,185.76471367138342
3130000-104-2019-00064,메가 엠지씨 커피 합정역점,192351.519505378,449683.522663289,폐업,2019-03-06,2022-08-19,72.3009396332558
3110000-104-2019-00026,커피에반하다(갈현주민센터점),192640.605262496,457921.381332144,폐업,2019-02-14,2024-06-03,608.3394693419654
3100000-104-2019-00039,커피에반하다,205341.384982763,460838.369137318,폐업,2019-03-05,2023-01-19,511.78193060610613
3220000-104-2019-00186,만랩커피 선릉역점,204662.747132837,444764.093388357,폐업,2019-03-28,2020-05-11,410.4148679578179
3020000-104-2023-00150,매머드익스프레스(숙대점),196977.364024383,449175.637803411,폐업,2023-08-21,2024-11-27,475.1937994325118
3130000-104-2023-00241,매머드익스프레스 공덕동점,195782.167947617,449467.125357845,폐업,2023-08-09,2025-03-11,421.8015484539076
3040000-104-2019-00021,커피에반하다,206826.516479071,450178.536506659,폐업,2019-02-07,2022-01-20,384.6315684511174
3130000-104-2019-00074,커피에반하다 구수사거리점,193889.040661907,449277.876757706,폐업,2019-03-13,2023-03-29,193.4066525901754
3180000-104-2019-00044,매머드익스프레스(여의도공원점),193259.164012388,447503.839457813,폐업,2019-03-07,2022-04-18,615.597958565413
3160000-104-2019-00035,감성커피 개봉역사점,187525.339802832,443643.833213749,폐업,2019-03-04,2022-06-16,110.47154939911853
3110000-104-2019-00043,커피에반하다(녹번환희점),194408.745928276,455650.210095834,폐업,2019-03-18,2024-08-05,294.29044788104926
3130000-104-2019-00051,만랩커피 홍대입구점,193683.435734563,450316.440468253,폐업,2019-02-26,2021-01-11,384.16082372302924
3040000-104-2019-00130,이디야뚝섬유원지역점,205877.28221374,447919.248318372,폐업,2019-06-13,2024-06-28,221.4972600217786
3210000-104-2019-00164,이디야(서초우면중앙점),201366.787271804,439366.70531764,폐업,2019-06-03,2024-11-11,2537.207157542754
3230000-104-2019-00189,이디야커피 송파 헬리오 시티점,209219.191144283,444182.219682377,폐업,2019-05-28,2021-05-20,625.2095791950823
3230000-104-2019-00121,이디야 문정문현점,211132.533390588,442002.841604704,폐업,2019-04-11,2024-06-17,174.74805643121684
3070000-104-2019-00097,커피에반하다 하월곡동점,203067.206072379,456073.860639591,폐업,2019-06-04,2023-04-24,770.4917150552828
3120000-104-2019-00097,더벤티서대문역점,196828.829637637,451670.514152007,폐업,2019-05-21,2023-05-03,226.97884304147848
3220000-104-2019-00256,주식회사 매머드커피랩,205130.591678902,445590.096837802,폐업,2019-04-26,2019-05-20,226.6222118106773
3020000-104-2019-00077,이디야커피삼각지역점,197514.145785647,448264.322314594,폐업,2019-06-05,2022-08-12,166.73040070705895
3150000-104-2019-00142,커피에반하다,185150.32136415,450822.870557532,폐업,2019-05-17,2024-02-15,588.3686149048875
3120000-104-2019-00094,메가엠지씨커피홍제역점,195107.573772626,453992.907306991,폐업,2019-05-16,2020-08-25,134.04940749143245
3130000-104-2023-00190,드라이빙 앤 컴포즈커피 마포구청점,191409.240701388,451377.18304308,폐업,2023-06-16,2024-04-18,123.73804912074
3110000-104-2012-00020,이디야 연신내역점,192900.782483613,457444.185417139,폐업,2012-02-28,2020-09-23,66.21705322730101
3110000-104-2009-00094,이디야이마트은평점,192882.837727443,455340.54056388,폐업,2009-11-20,2024-09-23,451.6994693601714
3120000-104-2012-00042,이디야 홍제점,195100.775388874,453908.668090057,폐업,2012-03-09,2023-09-01,187.49327150025212
3010000-104-2011-00121,이디야 충무로3가점,199157.146978682,451143.211003166,폐업,2011-07-04,2024-01-08,311.9476639598722
3010000-104-2016-00092,만랩커피,199274.744782333,451438.400670379,폐업,2016-03-17,2018-02-22,118.92309214588467
3110000-104-2010-00118,이디야(연신내점),192762.8128384,457402.234755153,폐업,2010-08-16,2016-09-06,155.12638646674858
3210000-104-2015-00222,THE VENTI(더 벤티) 교대점,201295.700037578,443474.524864903,폐업,2015-09-16,2024-04-09,89.44896944723912
3140000-104-2015-00071,이디야커피신정역점,187082.051039049,446981.829794841,폐업,2015-05-26,2022-09-19,134.66121663666675
3010000-104-2012-00161,이디야커피,199272.350281075,450950.170297912,폐업,2012-09-20,2024-11-25,263.24391271321826
3010000-104-2011-00022,매머드 익스프레스 퇴계로점,200277.835594229,451316.340340698,폐업,2011-02-15,2019-06-04,137.8673336267787
3020000-104-2014-00111,이디야 한강진역사,199976.641457811,448731.858551578,폐업,2014-10-13,2019-11-06,177.68210155919587
3110000-104-2013-00092,이디야,193103.427054842,459986.856034813,폐업,2013-10-18,2022-12-22,707.7443707969243
3120000-104-2014-00109,이디야커피 홍은중앙길점,195361.607735602,455246.102082101,폐업,2014-08-07,2021-08-27,1114.1094753348525
3020000-104-2015-00105,더벤티코리아,197015.117885427,449162.011118867,폐업,2015-11-16,2022-05-12,438.74861876396415
3140000-104-2011-00148,이디야(오목교역점),188954.524397407,446824.338404844,폐업,2011-09-30,2023-09-26,128.0349076868985
3110000-104-2015-00011,이디야 커피(독바위역점),194042.098056639,457314.080047051,폐업,2015-02-05,2023-01-30,37.85474106683485
3140000-104-2016-00246,이디야커피목4동점,188099.042234543,448591.302073883,폐업,2016-11-17,2024-10-11,1132.8327418911797
